"species","region","occ","model","value","metric","time"
"awt29","AWT","44","Regression","0.656704980842919","AUC","105.217000000001"
"awt29","AWT","44","Regression","0.142645460555473","COR","105.217000000001"
"awt29","AWT","44","Equal-sample","0.678927203065134","AUC","0.578000000001339"
"awt29","AWT","44","Equal-sample","0.229364154472518","COR","0.578000000001339"
"awt29","AWT","44","Default","0.696551724137934","AUC","26.4740000000002"
"awt29","AWT","44","Default","0.147901759794368","COR","26.4740000000002"
"awt29","AWT","44","Down-sample","0.680076628352493","AUC","3.70699999999852"
"awt29","AWT","44","Down-sample","0.248368549107808","COR","3.70699999999852"
"awt29","AWT","44","Weighted","0.657854406130269","AUC","30.7609999999986"
"awt29","AWT","44","Weighted","0.235928156005137","COR","30.7609999999986"
"awt29","AWT","44","ranger","0.753256704980847","AUC","6.60000000000036"
"awt29","AWT","44","ranger","0.234547079647372","COR","6.60000000000036"
"awt29","AWT","44","ranger-tuned","0.726436781609199","AUC","103.665999999999"
"awt29","AWT","44","ranger-tuned","0.26836492684692","COR","103.665999999999"
